id;dispatch_time;task;participant;compiler;verdict;points;execution_time;memory
129136351;2024-12-05 13:46:58;E. Электричка;member84;Python 3.12.3;IG1;0;0;0
129136116;2024-12-05 13:44:40;B. Тележка;member84;Python 3.12.3;IG3;52;35;4.3
129135651;2024-12-05 13:39:52;B. Тележка;member84;Python 3.12.3;IG1;0;0;0
129135528;2024-12-05 13:38:39;B. Тележка;member84;Python 3.12.3;IG1;0;0;0
129135374;2024-12-05 13:36:52;A. Пути;member84;Python 3.12.3;IG2;71;35;4.4
129135349;2024-12-05 13:36:40;B. Тележка;member87;Python 3.12.3;IG1;10;46;4.6
129134972;2024-12-05 13:32:27;E. Электричка;member195;C# (.NET 8.0);CE;;0;0
129134870;2024-12-05 13:31:23;D. Ремонт путей;member192;Python 3.12.3;IG;100;35;4.4
129134837;2024-12-05 13:31:03;E. Электричка;member149;C# (.NET 8.0);WA1;0;0;0
129134789;2024-12-05 13:30:36;С. Название маршрута;member87;Python 3.12.3;IG14;91;36;4.3
129134770;2024-12-05 13:30:21;E. Электричка;member195;C# (.NET 8.0);CE;;0;0
129134680;2024-12-05 13:29:35;B. Тележка;member193;Python 3.12.3;IG3;61;35;4.4
129134673;2024-12-05 13:29:30;E. Электричка;member149;C# (.NET 8.0);WA1;0;0;0
129134626;2024-12-05 13:28:54;E. Электричка;member195;C# (.NET 8.0);CE;;0;0
129134614;2024-12-05 13:28:45;E. Электричка;member90;C# (.NET 8.0);IG;;0;0
129134607;2024-12-05 13:28:42;B. Тележка;member133;Python 3.12.3;CE;;0;0
129134573;2024-12-05 13:28:22;E. Электричка;member193;Python 3.12.3;IG1;2;36;4.4
129134566;2024-12-05 13:28:18;E. Электричка;member108;Python 3.12.3;WA22;46;36;4.4
129134513;2024-12-05 13:27:51;B. Тележка;member133;Python 3.12.3;CE;;0;0
129134512;2024-12-05 13:27:51;С. Название маршрута;member124;C++20 (GCC 14.1);WA1;25;2;2.0
129134463;2024-12-05 13:27:21;E. Электричка;member149;C# (.NET 8.0);WA1;0;0;0
129134421;2024-12-05 13:27:02;E. Электричка;member89;Python 3.12.3;IG1;0;0;0
129134406;2024-12-05 13:26:56;B. Тележка;member133;Python 3.12.3;CE;;0;0
129134380;2024-12-05 13:26:44;A. Пути;member193;Python 3.12.3;IG5;35;35;4.4
129134348;2024-12-05 13:26:25;С. Название маршрута;member124;C++20 (GCC 14.1);WA1;0;0;0
129134346;2024-12-05 13:26:24;E. Электричка;member87;Python 3.12.3;IG1;21;35;4.4
129134252;2024-12-05 13:25:22;E. Электричка;member108;Python 3.12.3;RE1;31;35;4.4
129134222;2024-12-05 13:25:09;A. Пути;member138;C# (.NET 8.0);WA2;7;49;4.0
129134192;2024-12-05 13:24:52;E. Электричка;member149;C# (.NET 8.0);WA1;0;0;0
129134182;2024-12-05 13:24:47;D. Ремонт путей;member90;C# (.NET 8.0);IG;;0;0
129134129;2024-12-05 13:24:17;E. Электричка;member108;Python 3.12.3;CE;;0;0
129134102;2024-12-05 13:24:02;D. Ремонт путей;member93;Python 3.12.3;CE;;0;0
129134097;2024-12-05 13:23:58;A. Пути;member138;C# (.NET 8.0);PE1;0;0;0
129134064;2024-12-05 13:23:38;E. Электричка;member192;Python 3.12.3;IG1;0;0;0
129134024;2024-12-05 13:23:13;E. Электричка;member193;Python 3.12.3;IG1;0;0;0
129133998;2024-12-05 13:22:53;B. Тележка;member133;Python 3.12.3;WA3;39;35;4.4
129133901;2024-12-05 13:22:06;E. Электричка;member149;C# (.NET 8.0);WA1;0;0;0
129133890;2024-12-05 13:21:58;С. Название маршрута;member124;C++20 (GCC 14.1);WA2;65;2;1.9
129133847;2024-12-05 13:21:29;D. Ремонт путей;member87;Python 3.12.3;IG;100;35;4.4
129133812;2024-12-05 13:21:11;С. Название маршрута;member124;C++20 (GCC 14.1);WA14;91;2;2.1
129133676;2024-12-05 13:19:51;С. Название маршрута;member90;C# (.NET 8.0);IG;;0;0
129133657;2024-12-05 13:19:41;D. Ремонт путей;member192;Python 3.12.3;IG1;0;0;0
129133601;2024-12-05 13:19:08;B. Тележка;member138;C# (.NET 8.0);WA1;0;0;0
129133330;2024-12-05 13:16:39;E. Электричка;member91;Python 3.12.3;IG1;21;37;4.4
129133329;2024-12-05 13:16:38;E. Электричка;member92;C++20 (GCC 14.1);WA1;3;2;2.0
129133253;2024-12-05 13:15:58;B. Тележка;member87;Python 3.12.3;IG1;0;0;0
129133227;2024-12-05 13:15:40;B. Тележка;member193;Python 3.12.3;IG1;45;35;4.4
129133217;2024-12-05 13:15:32;С. Название маршрута;member124;C++20 (GCC 14.1);WA1;0;0;0
129133202;2024-12-05 13:15:24;B. Тележка;member90;C# (.NET 8.0);IG;;0;0
129133171;2024-12-05 13:15:05;С. Название маршрута;member124;C++20 (GCC 14.1);WA1;0;0;0
129133162;2024-12-05 13:15:01;E. Электричка;member108;Python 3.12.3;RE3;36;35;4.3
129133136;2024-12-05 13:14:40;B. Тележка;member133;Python 3.12.3;WA6;42;35;4.4
129133096;2024-12-05 13:14:21;С. Название маршрута;member124;C++20 (GCC 14.1);WA2;65;2;2.1
129133033;2024-12-05 13:13:37;С. Название маршрута;member124;C++20 (GCC 14.1);WA14;91;2;2.2
129133000;2024-12-05 13:13:19;С. Название маршрута;member194;Python 3.12.3;WA1;1;35;4.3
129132964;2024-12-05 13:12:56;С. Название маршрута;member192;Python 3.12.3;IG2;73;36;4.4
129132944;2024-12-05 13:12:40;A. Пути;member108;Python 3.12.3;OK;100;35;4.4
129132877;2024-12-05 13:12:00;E. Электричка;member195;C# (.NET 8.0);WA2;15;46;4.6
129132863;2024-12-05 13:11:50;B. Тележка;member138;C# (.NET 8.0);WA2;1;42;4.8
129132832;2024-12-05 13:11:36;E. Электричка;member195;C# (.NET 8.0);CE;;0;0
129132758;2024-12-05 13:10:58;С. Название маршрута;member124;C++20 (GCC 14.1);WA2;65;2;2.0
129132741;2024-12-05 13:10:47;A. Пути;member193;Python 3.12.3;IG2;7;34;4.4
129132730;2024-12-05 13:10:39;E. Электричка;member91;Python 3.12.3;IG1;0;0;0
129132718;2024-12-05 13:10:31;С. Название маршрута;member124;C++20 (GCC 14.1);WA1;0;0;0
129132648;2024-12-05 13:09:59;D. Ремонт путей;member138;C# (.NET 8.0);WA1;0;0;0
129132640;2024-12-05 13:09:54;B. Тележка;member192;Python 3.12.3;IG1;45;47;4.6
129132610;2024-12-05 13:09:39;E. Электричка;member91;Python 3.12.3;IG1;0;0;0
129132600;2024-12-05 13:09:32;С. Название маршрута;member124;C++20 (GCC 14.1);WA14;90;4;2.0
129132528;2024-12-05 13:08:44;E. Электричка;member195;C# (.NET 8.0);CE;;0;0
129132454;2024-12-05 13:08:05;E. Электричка;member195;C# (.NET 8.0);CE;;0;0
129132431;2024-12-05 13:07:54;E. Электричка;member91;Python 3.12.3;IG1;0;0;0
129132376;2024-12-05 13:07:23;E. Электричка;member195;C# (.NET 8.0);CE;;0;0
129132355;2024-12-05 13:07:10;B. Тележка;member89;Python 3.12.3;IG1;0;0;0
129132323;2024-12-05 13:06:49;A. Пути;member90;C# (.NET 8.0);IG;;0;0
129132306;2024-12-05 13:06:38;E. Электричка;member193;Python 3.12.3;IG1;0;0;0
129132269;2024-12-05 13:06:11;B. Тележка;member138;C# (.NET 8.0);WA2;1;40;3.7
129132198;2024-12-05 13:05:29;B. Тележка;member138;C# (.NET 8.0);CE;;0;0
129132097;2024-12-05 13:04:35;E. Электричка;member112;Python 3.12.3;IG;;0;0
129132083;2024-12-05 13:04:27;B. Тележка;member138;C# (.NET 8.0);CE;;0;0
129132047;2024-12-05 13:04:04;B. Тележка;member138;C# (.NET 8.0);CE;;0;0
129132011;2024-12-05 13:03:47;E. Электричка;member92;C++20 (GCC 14.1);WA1;0;0;0
129131904;2024-12-05 13:02:32;D. Ремонт путей;member91;Python 3.12.3;IG;100;35;4.4
129131845;2024-12-05 13:01:55;D. Ремонт путей;member91;Python 3.12.3;CE;;0;0
129131822;2024-12-05 13:01:43;D. Ремонт путей;member193;Python 3.12.3;IG;100;35;4.4
129131817;2024-12-05 13:01:40;B. Тележка;member194;Python 3.12.3;WA4;18;35;4.3
129131811;2024-12-05 13:01:37;D. Ремонт путей;member91;Python 3.12.3;CE;;0;0
129131809;2024-12-05 13:01:35;D. Ремонт путей;member92;C++20 (GCC 14.1);WA1;5;2;2.0
129131778;2024-12-05 13:01:16;D. Ремонт путей;member124;C++20 (GCC 14.1);WA1;88;2;2.1
129131777;2024-12-05 13:01:15;D. Ремонт путей;member92;C++20 (GCC 14.1);WA1;0;0;0
129131727;2024-12-05 13:00:40;С. Название маршрута;member124;C++20 (GCC 14.1);WA14;90;3;2.1
129131708;2024-12-05 13:00:28;B. Тележка;member124;C++20 (GCC 14.1);WA6;96;2;2.0
129131700;2024-12-05 13:00:24;D. Ремонт путей;member92;C++20 (GCC 14.1);WA2;1;2;2.2
129131677;2024-12-05 13:00:12;A. Пути;member87;Python 3.12.3;IG2;73;35;4.3
129131672;2024-12-05 13:00:10;D. Ремонт путей;member91;Python 3.12.3;CE;;0;0
129131491;2024-12-05 12:58:33;A. Пути;member108;Python 3.12.3;WA14;59;35;4.3
129131302;2024-12-05 12:56:58;E. Электричка;member195;C# (.NET 8.0);RE1;0;0;0
129131277;2024-12-05 12:56:46;E. Электричка;member195;C# (.NET 8.0);WA2;15;47;4.6
129131206;2024-12-05 12:56:08;B. Тележка;member133;Python 3.12.3;WA6;42;42;4.4
129131106;2024-12-05 12:55:12;С. Название маршрута;member193;Python 3.12.3;IG2;73;36;4.4
129131101;2024-12-05 12:55:10;E. Электричка;member195;C# (.NET 8.0);RE1;0;0;0
129131052;2024-12-05 12:54:42;С. Название маршрута;member91;Python 3.12.3;IG2;65;35;4.4
129130968;2024-12-05 12:53:55;E. Электричка;member89;Python 3.12.3;IG1;14;1090.0;4.6
129130869;2024-12-05 12:53:01;С. Название маршрута;member91;Python 3.12.3;IG2;65;37;4.6
129130839;2024-12-05 12:52:42;E. Электричка;member195;C# (.NET 8.0);RE1;0;0;0
129130706;2024-12-05 12:51:36;B. Тележка;member194;Python 3.12.3;WA3;50;38;4.8
129130682;2024-12-05 12:51:25;E. Электричка;member89;Python 3.12.3;IG1;0;0;0
129130506;2024-12-05 12:49:53;E. Электричка;member152;Python 3.12.3;RE1;0;0;0
129130492;2024-12-05 12:49:46;E. Электричка;member124;C++20 (GCC 14.1);WA3;36;2;2.2
129130475;2024-12-05 12:49:34;С. Название маршрута;member193;Python 3.12.3;IG1;0;0;0
129130469;2024-12-05 12:49:31;B. Тележка;member91;Python 3.12.3;IG3;61;35;4.4
129130394;2024-12-05 12:48:50;B. Тележка;member91;Python 3.12.3;IG3;61;36;4.6
129130331;2024-12-05 12:48:20;E. Электричка;member152;Python 3.12.3;RE1;0;0;0
129130268;2024-12-05 12:47:47;B. Тележка;member91;Python 3.12.3;CE;;0;0
129130221;2024-12-05 12:47:13;B. Тележка;member91;Python 3.12.3;CE;;0;0
129130117;2024-12-05 12:46:24;A. Пути;member121;C++20 (GCC 14.1);WA2;73;2;2.2
129130088;2024-12-05 12:46:10;B. Тележка;member91;Python 3.12.3;CE;;0;0
129129964;2024-12-05 12:45:03;E. Электричка;member89;Python 3.12.3;IG1;3;36;4.3
129129844;2024-12-05 12:43:56;С. Название маршрута;member149;C# (.NET 8.0);WA28;92;55;4.9
129129800;2024-12-05 12:43:34;E. Электричка;member193;Python 3.12.3;IG1;0;0;0
129129633;2024-12-05 12:42:02;B. Тележка;member92;C++20 (GCC 14.1);WA38;97;2;2.0
129129618;2024-12-05 12:41:52;B. Тележка;member133;Python 3.12.3;WA6;42;36;4.4
129129595;2024-12-05 12:41:40;D. Ремонт путей;member193;Python 3.12.3;IG1;0;0;0
129129565;2024-12-05 12:41:19;D. Ремонт путей;member156;Python 3.12.3;IG;100;39;4.3
129129554;2024-12-05 12:41:11;A. Пути;member91;Python 3.12.3;IG2;28;46;4.6
129129531;2024-12-05 12:40:58;С. Название маршрута;member156;Python 3.12.3;IG2;73;36;4.4
129129487;2024-12-05 12:40:37;E. Электричка;member105;Python 3.12.3;OK;100;35;4.3
129129453;2024-12-05 12:40:09;A. Пути;member91;Python 3.12.3;IG2;28;35;4.4
129129429;2024-12-05 12:39:57;С. Название маршрута;member93;Python 3.12.3;WA2;73;37;4.5
129129412;2024-12-05 12:39:46;B. Тележка;member156;Python 3.12.3;IG3;61;35;4.4
129129357;2024-12-05 12:39:13;A. Пути;member114;Python 3.12.3;OK;100;35;4.4
129129337;2024-12-05 12:39:02;D. Ремонт путей;member89;Python 3.12.3;IG;100;35;4.4
129129276;2024-12-05 12:38:29;B. Тележка;member156;Python 3.12.3;IG1;0;0;0
129129248;2024-12-05 12:38:08;E. Электричка;member195;C# (.NET 8.0);RE1;0;0;0
129129240;2024-12-05 12:38:05;A. Пути;member114;Python 3.12.3;PE2;50;35;4.4
129129203;2024-12-05 12:37:40;A. Пути;member156;Python 3.12.3;IG2;73;35;4.4
129129125;2024-12-05 12:36:56;E. Электричка;member156;Python 3.12.3;IG3;51;35;4.4
129129115;2024-12-05 12:36:51;A. Пути;member114;Python 3.12.3;OK;100;46;4.6
129129100;2024-12-05 12:36:43;E. Электричка;member155;Python 3.12.3;IG2;15;37;4.8
129129085;2024-12-05 12:36:35;E. Электричка;member124;C++20 (GCC 14.1);WA2;15;2;2.0
129129061;2024-12-05 12:36:23;С. Название маршрута;member93;Python 3.12.3;WA1;2;35;4.4
129129032;2024-12-05 12:36:07;E. Электричка;member155;Python 3.12.3;IG2;15;35;4.4
129128971;2024-12-05 12:35:34;E. Электричка;member156;Python 3.12.3;IG1;0;0;0
129128882;2024-12-05 12:34:52;E. Электричка;member156;Python 3.12.3;IG;;0;0
129128820;2024-12-05 12:34:24;E. Электричка;member156;Python 3.12.3;IG;;0;0
129128785;2024-12-05 12:34:06;E. Электричка;member124;C++20 (GCC 14.1);WA2;7;2;2.0
129128738;2024-12-05 12:33:37;E. Электричка;member156;Python 3.12.3;IG;;0;0
129128684;2024-12-05 12:33:07;E. Электричка;member156;Python 3.12.3;IG;;0;0
129128656;2024-12-05 12:32:53;E. Электричка;member156;Python 3.12.3;IG;;0;0
129128650;2024-12-05 12:32:51;D. Ремонт путей;member114;Python 3.12.3;OK;100;36;4.4
129128647;2024-12-05 12:32:51;B. Тележка;member89;Python 3.12.3;IG1;0;0;0
129128646;2024-12-05 12:32:50;С. Название маршрута;member193;Python 3.12.3;IG1;0;0;0
129128570;2024-12-05 12:32:01;E. Электричка;member195;C# (.NET 8.0);RE1;0;0;0
129128385;2024-12-05 12:30:08;E. Электричка;member156;Python 3.12.3;IG;;0;0
129128373;2024-12-05 12:29:59;B. Тележка;member193;Python 3.12.3;IG1;2;36;4.3
129128345;2024-12-05 12:29:45;E. Электричка;member114;Python 3.12.3;OK;100;35;4.4
129128330;2024-12-05 12:29:39;E. Электричка;member156;Python 3.12.3;IG;;0;0
129128323;2024-12-05 12:29:36;E. Электричка;member73;C# (.NET 8.0);CE;;0;0
129128277;2024-12-05 12:29:17;B. Тележка;member89;Python 3.12.3;IG1;45;36;4.4
129128241;2024-12-05 12:29:02;E. Электричка;member195;C# (.NET 8.0);RE1;0;0;0
129128128;2024-12-05 12:28:03;A. Пути;member193;Python 3.12.3;IG2;7;35;4.4
129128114;2024-12-05 12:27:58;С. Название маршрута;member138;C# (.NET 8.0);WA2;2;40;4.6
129128042;2024-12-05 12:27:20;E. Электричка;member117;Python 3.12.3;IG2;15;35;4.4
129128031;2024-12-05 12:27:15;E. Электричка;member101;Python 3.12.3;IG2;15;35;4.4
129127954;2024-12-05 12:26:35;E. Электричка;member156;Python 3.12.3;IG;;0;0
129127943;2024-12-05 12:26:29;A. Пути;member108;Python 3.12.3;WA3;12;35;4.4
129127801;2024-12-05 12:25:09;B. Тележка;member117;Python 3.12.3;IG1;45;35;4.4
129127773;2024-12-05 12:24:59;B. Тележка;member101;Python 3.12.3;IG1;45;36;4.3
129127767;2024-12-05 12:24:55;B. Тележка;member156;Python 3.12.3;IG1;0;0;0
129127753;2024-12-05 12:24:47;A. Пути;member108;Python 3.12.3;WA5;16;35;4.3
129127637;2024-12-05 12:23:45;E. Электричка;member113;Python 3.12.3;IG1;0;0;0
129127597;2024-12-05 12:23:23;B. Тележка;member156;Python 3.12.3;IG3;61;35;4.4
129127596;2024-12-05 12:23:22;С. Название маршрута;member109;Python 3.12.3;WA1;0;0;0
129127535;2024-12-05 12:22:54;D. Ремонт путей;member75;C# (.NET 8.0);CE;;0;0
129127496;2024-12-05 12:22:33;A. Пути;member89;Python 3.12.3;IG;100;36;4.4
129127489;2024-12-05 12:22:30;С. Название маршрута;member109;Python 3.12.3;CE;;0;0
129127431;2024-12-05 12:21:56;A. Пути;member108;Python 3.12.3;WA1;15;47;4.6
129127309;2024-12-05 12:20:56;С. Название маршрута;member117;Python 3.12.3;IG;100;36;4.4
129127285;2024-12-05 12:20:44;С. Название маршрута;member101;Python 3.12.3;IG;100;35;4.4
129127273;2024-12-05 12:20:36;С. Название маршрута;member109;C++20 (GCC 14.1);CE;;0;0
129127262;2024-12-05 12:20:32;E. Электричка;member195;C# (.NET 8.0);RE1;0;0;0
129127102;2024-12-05 12:18:59;С. Название маршрута;member117;Python 3.12.3;IG1;0;0;0
129127082;2024-12-05 12:18:48;С. Название маршрута;member109;C++20 (GCC 14.1);CE;;0;0
129127059;2024-12-05 12:18:37;С. Название маршрута;member101;Python 3.12.3;IG1;0;0;0
129127024;2024-12-05 12:18:15;С. Название маршрута;member92;C++20 (GCC 14.1);OK;100;20;19.9
129126980;2024-12-05 12:17:55;С. Название маршрута;member75;C# (.NET 8.0);CE;;0;0
129126955;2024-12-05 12:17:41;E. Электричка;member113;Python 3.12.3;IG;;0;0
129126924;2024-12-05 12:17:21;E. Электричка;member195;C# (.NET 8.0);RE1;0;0;0
129126908;2024-12-05 12:17:14;E. Электричка;member101;Python 3.12.3;IG3;36;35;4.4
129126857;2024-12-05 12:16:43;E. Электричка;member117;Python 3.12.3;IG3;36;36;4.3
129126829;2024-12-05 12:16:32;E. Электричка;member113;Python 3.12.3;IG;;0;0
129126712;2024-12-05 12:15:20;E. Электричка;member76;C# (.NET 8.0);CE;;0;0
129126692;2024-12-05 12:15:06;E. Электричка;member76;C# (.NET 8.0);CE;;0;0
129126662;2024-12-05 12:14:52;A. Пути;member89;Python 3.12.3;IG2;26;47;4.6
129126647;2024-12-05 12:14:43;E. Электричка;member76;C# (.NET 8.0);CE;;0;0
129126636;2024-12-05 12:14:33;E. Электричка;member76;C# (.NET 8.0);CE;;0;0
129126631;2024-12-05 12:14:29;С. Название маршрута;member149;C# (.NET 8.0);WA2;55;55;4.9
129126625;2024-12-05 12:14:27;B. Тележка;member101;Python 3.12.3;IG1;84;35;4.4
129126624;2024-12-05 12:14:27;B. Тележка;member117;Python 3.12.3;IG1;84;35;4.4
129126615;2024-12-05 12:14:23;E. Электричка;member76;C# (.NET 8.0);CE;;0;0
129126606;2024-12-05 12:14:19;A. Пути;member4;C# (.NET 8.0);CE;;0;0
129126571;2024-12-05 12:14:00;A. Пути;member193;PascalABC.NET 3.9.0;CE;;0;0
129126569;2024-12-05 12:14:00;E. Электричка;member195;C# (.NET 8.0);CE;;0;0
129126536;2024-12-05 12:13:38;D. Ремонт путей;member4;C# (.NET 8.0);CE;;0;0
129126463;2024-12-05 12:12:58;E. Электричка;member107;Python 3.12.3;IG1;42;36;4.4
129126435;2024-12-05 12:12:41;E. Электричка;member76;C# (.NET 8.0);CE;;0;0
129126400;2024-12-05 12:12:28;E. Электричка;member134;C++20 (GCC 14.1);OK;100;2;2.1
129126387;2024-12-05 12:12:22;С. Название маршрута;member4;C# (.NET 8.0);CE;;0;0
129126367;2024-12-05 12:12:13;С. Название маршрута;member111;Python 3.12.3;WA1;0;0;0
129126314;2024-12-05 12:11:44;A. Пути;member108;Python 3.12.3;PE5;16;35;4.4
129126311;2024-12-05 12:11:42;E. Электричка;member101;Python 3.12.3;IG2;5;36;4.3
129126310;2024-12-05 12:11:41;E. Электричка;member117;Python 3.12.3;IG2;5;35;4.4
129126276;2024-12-05 12:11:24;A. Пути;member109;C++20 (GCC 14.1);WA2;73;2;2.0
129126264;2024-12-05 12:11:20;E. Электричка;member77;Python 3.12.3;WA1;0;0;0
129126253;2024-12-05 12:11:13;D. Ремонт путей;member77;Python 3.12.3;WA1;0;0;0
129126241;2024-12-05 12:11:05;С. Название маршрута;member77;Python 3.12.3;WA1;0;0;0
129126216;2024-12-05 12:10:57;A. Пути;member77;Python 3.12.3;PE1;0;0;0
129126196;2024-12-05 12:10:49;E. Электричка;member107;Python 3.12.3;IG1;0;0;0
129126193;2024-12-05 12:10:49;A. Пути;member113;Python 3.12.3;IG;100;35;4.4
129126159;2024-12-05 12:10:31;С. Название маршрута;member111;Python 3.12.3;WA1;0;0;0
129126101;2024-12-05 12:10:00;E. Электричка;member134;C++20 (GCC 14.1);CE;;0;0
129126052;2024-12-05 12:09:37;A. Пути;member138;C# (.NET 8.0);WA2;7;39;4.6
129126046;2024-12-05 12:09:34;B. Тележка;member77;PascalABC.NET 3.9.0;CE;;0;0
129126021;2024-12-05 12:09:24;B. Тележка;member93;Python 3.12.3;OK;100;36;4.3
129126016;2024-12-05 12:09:23;E. Электричка;member109;C++20 (GCC 14.1);WA1;0;0;0
129125999;2024-12-05 12:09:15;E. Электричка;member108;Python 3.12.3;WA2;15;35;4.4
129125954;2024-12-05 12:08:57;A. Пути;member133;Python 3.12.3;OK;100;35;4.4
129125949;2024-12-05 12:08:54;E. Электричка;member4;C# (.NET 8.0);CE;;0;0
129125942;2024-12-05 12:08:52;С. Название маршрута;member111;Python 3.12.3;IG2;65;36;4.4
129125933;2024-12-05 12:08:48;A. Пути;member138;C# (.NET 8.0);PE1;0;0;0
129125898;2024-12-05 12:08:32;С. Название маршрута;member113;Python 3.12.3;IG2;73;47;4.6
129125875;2024-12-05 12:08:19;E. Электричка;member101;Python 3.12.3;IG1;0;0;0
129125857;2024-12-05 12:08:12;E. Электричка;member117;Python 3.12.3;IG1;0;0;0
129125828;2024-12-05 12:07:54;D. Ремонт путей;member107;Python 3.12.3;WA1;0;0;0
129125808;2024-12-05 12:07:47;E. Электричка;member69;C# (.NET 8.0);CE;;0;0
129125802;2024-12-05 12:07:45;E. Электричка;member75;Python 3.12.3;RE1;0;0;0
129125784;2024-12-05 12:07:39;E. Электричка;member109;C++20 (GCC 14.1);CE;;0;0
129125710;2024-12-05 12:07:09;D. Ремонт путей;member193;PascalABC.NET 3.9.0;CE;;0;0
129125637;2024-12-05 12:06:41;С. Название маршрута;member113;Python 3.12.3;IG1;0;0;0
129125571;2024-12-05 12:06:10;D. Ремонт путей;member69;C# (.NET 8.0);CE;;0;0
129125568;2024-12-05 12:06:09;E. Электричка;member111;Python 3.12.3;IG3;51;35;4.4
129125558;2024-12-05 12:06:01;A. Пути;member138;C# (.NET 8.0);PE1;0;0;0
129125524;2024-12-05 12:05:47;D. Ремонт путей;member193;Python 3.12.3;CE;;0;0
129125517;2024-12-05 12:05:43;С. Название маршрута;member148;Python 3.12.3;WA14;91;35;4.4
129125506;2024-12-05 12:05:37;С. Название маршрута;member117;Python 3.12.3;IG2;73;35;4.4
129125450;2024-12-05 12:05:17;E. Электричка;member109;C++20 (GCC 14.1);IG2;3;2;2.1
129125434;2024-12-05 12:05:12;С. Название маршрута;member148;Python 3.12.3;WA14;91;35;4.4
129125394;2024-12-05 12:04:58;E. Электричка;member112;Python 3.12.3;IG1;23;37;4.3
129125365;2024-12-05 12:04:39;B. Тележка;member107;Python 3.12.3;IG1;2;35;4.4
129125343;2024-12-05 12:04:31;С. Название маршрута;member101;Python 3.12.3;IG2;73;35;4.4
129125336;2024-12-05 12:04:27;С. Название маршрута;member113;Python 3.12.3;CE;;0;0
129125249;2024-12-05 12:03:48;B. Тележка;member93;Python 3.12.3;WA2;20;36;4.3
129125243;2024-12-05 12:03:45;E. Электричка;member111;Python 3.12.3;RE2;15;36;4.4
129125107;2024-12-05 12:02:42;A. Пути;member138;C# (.NET 8.0);WA2;7;37;4.0
129125090;2024-12-05 12:02:35;С. Название маршрута;member89;Python 3.12.3;IG2;73;35;4.3
129125050;2024-12-05 12:02:18;A. Пути;member4;C# (.NET 8.0);CE;;0;0
129125049;2024-12-05 12:02:18;E. Электричка;member71;Python 3.12.3;RE1;0;0;0
129125030;2024-12-05 12:02:08;D. Ремонт путей;member8;C# (.NET 8.0);CE;;0;0
129125022;2024-12-05 12:02:06;A. Пути;member152;Python 3.12.3;CE;;0;0
129124986;2024-12-05 12:01:48;E. Электричка;member117;Python 3.12.3;IG1;2;36;4.4
129124966;2024-12-05 12:01:37;E. Электричка;member101;Python 3.12.3;IG1;2;36;4.4
129124923;2024-12-05 12:01:19;B. Тележка;member107;Python 3.12.3;CE;;0;0
129124912;2024-12-05 12:01:15;D. Ремонт путей;member4;C# (.NET 8.0);CE;;0;0
129124911;2024-12-05 12:01:15;D. Ремонт путей;member71;Python 3.12.3;RE1;0;0;0
129124908;2024-12-05 12:01:15;B. Тележка;member193;Python 3.12.3;WA1;0;0;0
129124871;2024-12-05 12:00:55;D. Ремонт путей;member111;Python 3.12.3;IG;100;36;4.4
129124858;2024-12-05 12:00:48;D. Ремонт путей;member117;Python 3.12.3;IG;100;35;4.4
129124814;2024-12-05 12:00:33;A. Пути;member69;C# (.NET 8.0);CE;;0;0
